Defunciones registradas (mortalidad general)
,

Consulta de: Defunciones registradas   Por: Sexo y Edad   Según: Ent y mun de registro y Año de registro
 , , Oaxaca, Oaxaca, Oaxaca
 , , 2010, 2019, 2021
 Total, Total,"21,286","25,652","39,456"
 Total, Menores de 1 año, 886, 649, 591
 Total, 1-4 años, 255, 189, 155
 Total, 5-9 años, 115, 88, 86
 Total, 10-14 años, 149, 147, 142
 Total, 15-19 años, 318, 266, 271
 Total, 20-24 años, 375, 384, 374
 Total, 25-29 años, 432, 496, 570
 Total, 30-34 años, 543, 517, 693
 Total, 35-39 años, 573, 673, 926
 Total, 40-44 años, 691, 801,"1,272"
 Total, 45-49 años, 818, 938,"1,681"
 Total, 50-54 años,"1,008","1,138","2,013"
 Total, 55-59 años,"1,149","1,530","2,706"
 Total, 60-64 años,"1,309","1,674","3,094"
 Total, 65-69 años,"1,603","2,004","3,521"
 Total, 70-74 años,"1,971","2,204","3,893"
 Total, 75-79 años,"2,362","2,768","4,253"
 Total, 80-84 años,"2,353","3,185","4,568"
 Total, 85 años y más,"4,350","5,980","8,607"
 Total, No especificado, 26, 21, 40
 Hombre, Total,"11,640","13,806","22,111"
 Hombre, Menores de 1 año, 491, 357, 325
 Hombre, 1-4 años, 127, 91, 89
 Hombre, 5-9 años, 60, 49, 51
 Hombre, 10-14 años, 84, 88, 78
 Hombre, 15-19 años, 217, 187, 190
 Hombre, 20-24 años, 264, 303, 282
 Hombre, 25-29 años, 319, 390, 419
 Hombre, 30-34 años, 406, 398, 504
 Hombre, 35-39 años, 407, 492, 643
 Hombre, 40-44 años, 490, 554, 870
 Hombre, 45-49 años, 553, 596,"1,094"
 Hombre, 50-54 años, 617, 713,"1,226"
 Hombre, 55-59 años, 661, 857,"1,578"
 Hombre, 60-64 años, 735, 948,"1,754"
 Hombre, 65-69 años, 850, 995,"2,034"
 Hombre, 70-74 años,"1,008","1,122","2,134"
 Hombre, 75-79 años,"1,168","1,389","2,268"
 Hombre, 80-84 años,"1,145","1,582","2,383"
 Hombre, 85 años y más,"2,016","2,677","4,152"
 Hombre, No especificado, 22, 18, 37
 Mujer, Total,"9,646","11,844","17,339"
 Mujer, Menores de 1 año, 395, 292, 262
 Mujer, 1-4 años, 128, 98, 66
 Mujer, 5-9 años, 55, 39, 35
 Mujer, 10-14 años, 65, 59, 64
 Mujer, 15-19 años, 101, 79, 81
 Mujer, 20-24 años, 111, 81, 92
 Mujer, 25-29 años, 113, 106, 151
 Mujer, 30-34 años, 137, 119, 189
 Mujer, 35-39 años, 166, 181, 283
 Mujer, 40-44 años, 201, 247, 402
 Mujer, 45-49 años, 265, 342, 587
 Mujer, 50-54 años, 391, 425, 787
 Mujer, 55-59 años, 488, 673,"1,128"
 Mujer, 60-64 años, 574, 726,"1,339"
 Mujer, 65-69 años, 753,"1,009","1,487"
 Mujer, 70-74 años, 963,"1,082","1,759"
 Mujer, 75-79 años,"1,194","1,379","1,984"
 Mujer, 80-84 años,"1,208","1,603","2,185"
 Mujer, 85 años y más,"2,334","3,303","4,455"
 Mujer, No especificado, 4, 1, 3
 No especificado, Total, , 2, 6
 No especificado, Menores de 1 año, , , 4
 No especificado, 60-64 años, , , 1
 No especificado, 75-79 años, , , 1
 No especificado, No especificado, , 2, 


Fuente: INEGI. Estadísticas de Defunciones Registradas (EDR).
